Organization Name,AS number,Ranges
"Cisco Systems, Inc.",AS109,128.107.0.0 - 128.107.255.255
,,72.163.0.0 - 72.163.255.255
Arelion Sweden AB,AS1299,62.115.128.0 - 62.115.143.255
,,62.115.48.0 - 62.115.63.255
,,62.115.112.0 - 62.115.127.255
,,80.239.128.0 - 80.239.135.255
"Cloudflare, Inc.",AS13335,104.16.0.0 - 104.31.255.255
,,172.64.0.0 - 172.71.255.255
,,103.22.201.0 - 103.22.201.255
Wikimedia Foundation Inc.,AS14907,103.102.166.0 - 103.102.166.255
,,185.15.59.0 - 185.15.59.255
,,208.80.152.0 - 208.80.155.255
Google LLC,AS15169,72.14.192.0 - 72.14.255.255
,,142.250.0.0 - 142.251.255.255
,,216.58.192.0 - 216.58.223.255
,,108.170.192.0 - 108.170.255.255
,,216.239.32.0 - 216.239.63.255
,,209.85.128.0 - 209.85.255.255
,,74.125.0.0 - 74.125.255.255
,,172.217.0.0 - 172.217.255.255
"Amazon.com, Inc.",AS16509,52.192.0.0 - 52.223.191.255
akamai tecnologies,AS16625,23.32.0.0 - 23.67.255.255
,,104.64.0.0 - 104.127.255.255
,,96.16.0.0 - 96.17.255.255
ICANN,AS16876,192.0.32.0 - 192.0.47.255
Cogent Communications,AS174,130.117.0.0 - 130.117.255.255
,,154.54.0.0 - 154.54.255.255
,,66.28.0.0 - 66.28.255.255
,,154.18.0.0 - 154.18.255.255
,,38.0.0.0 - 38.255.255.255
Core-Backbone GmbH,AS201011,5.56.20.0 - 5.56.20.255
,,80.255.14.0 - 80.255.14.255
,,80.255.15.0 - 80.255.15.255
,,81.95.15.0 - 81.95.15.255
,,5.56.16.0 - 5.56.23.255
Akamai International B.V.,AS20940,104.64.0.0 - 104.127.255.255
,,2.16.186.0 - 2.16.187.255
,,23.192.0.0 - 23.223.255.255
,,23.32.0.0 - 23.67.255.255
Owl Limited,AS23959,103.125.235.0 - 103.125.235.255
Hetzner Online GmbH,AS24940,213.239.192.0 - 213.239.255.255
,,88.198.0.0 - 88.198.255.255
,,95.216.0.0 - 95.217.255.255
,,213.133.96.0 - 213.133.127.255
,,213.239.224.128 - 213.239.224.255
Internet Initiative Japan Inc.,AS2497,210.136.0.0 - 210.143.255.255
,,58.138.0.0 - 58.138.127.255
GTT comunications,AS286,154.14.40.0 - 154.14.43.255
,,154.14.72.0 - 154.14.79.255
"NTT America, Inc.",AS2914,129.250.0.0 - 129.250.255.255
,,120.88.48.0 - 120.88.63.255
,,116.51.16.0 - 116.51.31.255
GTT Communications Inc.,AS3257,213.254.214.0 - 213.254.215.255
,,69.174.0.0 - 69.174.127.255
,,89.149.139.0 - 89.149.139.255
"Facebook, Inc.",AS32934,157.240.0.0 - 157.240.255.255
,,173.252.64.0 - 173.252.127.255
,,163.70.128.0 - 163.70.255.255
,,129.134.0.0 - 129.134.255.255
,,31.13.64.0 - 31.13.127.255
"Level 3 Parent, LLC",AS3356,195.50.116.0 - 195.50.117.255
,,4.0.0.0 - 4.127.255.255
,,212.133.6.0 - 212.133.6.255
Telstra Global,AS4637,202.47.216.0 - 202.47.216.255
,,202.84.246.0 - 202.84.247.255
,,202.127.69.132 - 202.127.69.135
NTT Communications Corporation,AS4713,122.1.0.0 - 122.1.255.255
,,211.0.0.0 - 211.7.255.255
,,61.112.0.0 - 61.127.255.255
,,60.32.0.0 - 60.47.255.255
WorldStream B.V.,AS49981,89.38.99.0 - 89.38.99.255
"Fastly, Inc.",AS54113,151.101.0.0 - 151.101.255.255
Reliance Jio Infocomm Limited,AS55836,115.240.0.0 - 115.247.255.255
,,49.32.0.0 - 49.47.255.255
IIT Hyderabad,AS59193,103.232.241.0 - 103.232.241.255
Datacamp Limited,AS60068,89.187.176.0 - 89.187.179.255
,,45.134.215.0 - 45.134.215.255
,AS64049,49.32.0.0 - 49.47.255.255
Zayo Bandwidth,AS6461,64.124.190.0 - 64.125.255.255
TELECOM ITALIA SPARKLE S.p.A.,AS6762,93.186.128.0 - 93.186.128.255
,,195.22.205.0 - 195.22.205.255
Liberty Global B.V.,AS6830,213.46.177.0 - 213.46.177.255
,,84.116.64.0 - 84.116.207.255
"AT&T Services, Inc.",AS7018,12.0.0.0 - 12.255.255.255
Singapore Telecommunications Ltd,AS7473,203.208.171.64 - 203.208.171.127
,,203.208.182.192 - 203.208.182.255
,,203.208.154.64 - 203.208.154.127
,,203.208.171.192 - 203.208.171.255
"Comcast Cable Communications, LLC",AS7922,96.64.0.0 - 96.124.255.255
,,68.80.0.0 - 68.87.255.255
,,50.128.0.0 - 50.255.255.255
BHARTI Airtel Ltd.,AS9498,122.187.0.0 - 122.187.255.255
,,116.119.0.0 - 116.119.127.0
,,182.64.0.0 - 182.79.255.255
,,23.32.0.0 - 23.67.255.255
"BroadBand Tower, Inc.",AS9607,211.8.0.0 - 211.19.255.255
